min_max_neurons = [i for i in range(100, 550, 100)]
max_hidden_layers = 4

model = sklearn.neural_network.MLPClassifier(hidden_layer_sizes=permut, activation='relu', alpha=0.0001, batch_size='auto', learning_rate_init=0.001, max_iter=200)

Xtrain[:5000, :], ytrain[:5000]
Xval[:2500, :], yval[:2500]

total time = 19517s = 325 min = 5.5 h

Hidden layer sizes: (100,), validation accuracy: 0.9332, accumulated time 19.12684917449951
Hidden layer sizes: (200,), validation accuracy: 0.95, accumulated time 41.24769163131714
Hidden layer sizes: (300,), validation accuracy: 0.9484, accumulated time 71.77810502052307
Hidden layer sizes: (400,), validation accuracy: 0.9464, accumulated time 106.37063813209534
Hidden layer sizes: (500,), validation accuracy: 0.948, accumulated time 147.14510202407837
Hidden layer sizes: (100, 100), validation accuracy: 0.9412, accumulated time 159.23729419708252
Hidden layer sizes: (100, 200), validation accuracy: 0.9404, accumulated time 168.63566708564758
Hidden layer sizes: (100, 300), validation accuracy: 0.9448, accumulated time 178.92415380477905
Hidden layer sizes: (100, 400), validation accuracy: 0.9448, accumulated time 190.10875391960144
Hidden layer sizes: (100, 500), validation accuracy: 0.9432, accumulated time 202.84269952774048
Hidden layer sizes: (200, 100), validation accuracy: 0.9456, accumulated time 222.8571755886078
Hidden layer sizes: (200, 200), validation accuracy: 0.9452, accumulated time 240.5987458229065
Hidden layer sizes: (200, 300), validation accuracy: 0.944, accumulated time 260.65326738357544
Hidden layer sizes: (200, 400), validation accuracy: 0.9468, accumulated time 278.21215748786926
Hidden layer sizes: (200, 500), validation accuracy: 0.946, accumulated time 295.08304047584534
Hidden layer sizes: (300, 100), validation accuracy: 0.9448, accumulated time 317.91251730918884
Hidden layer sizes: (300, 200), validation accuracy: 0.9444, accumulated time 339.33024048805237
Hidden layer sizes: (300, 300), validation accuracy: 0.9452, accumulated time 359.98999094963074
Hidden layer sizes: (300, 400), validation accuracy: 0.9504, accumulated time 381.49714040756226
Hidden layer sizes: (300, 500), validation accuracy: 0.9512, accumulated time 406.3701333999634
Hidden layer sizes: (400, 100), validation accuracy: 0.946, accumulated time 431.5637481212616
Hidden layer sizes: (400, 200), validation accuracy: 0.9492, accumulated time 458.2703959941864
Hidden layer sizes: (400, 300), validation accuracy: 0.9456, accumulated time 486.1171045303345
Hidden layer sizes: (400, 400), validation accuracy: 0.9492, accumulated time 512.1861333847046
Hidden layer sizes: (400, 500), validation accuracy: 0.9504, accumulated time 541.4618606567383
Hidden layer sizes: (500, 100), validation accuracy: 0.946, accumulated time 573.8777194023132
Hidden layer sizes: (500, 200), validation accuracy: 0.9476, accumulated time 601.8080267906189
Hidden layer sizes: (500, 300), validation accuracy: 0.9476, accumulated time 632.7123792171478
Hidden layer sizes: (500, 400), validation accuracy: 0.9516, accumulated time 664.6100776195526
Hidden layer sizes: (500, 500), validation accuracy: 0.948, accumulated time 697.7185356616974
Hidden layer sizes: (100, 100, 100), validation accuracy: 0.9456, accumulated time 706.388350725174
Hidden layer sizes: (100, 100, 200), validation accuracy: 0.9428, accumulated time 715.4610874652863
Hidden layer sizes: (100, 100, 300), validation accuracy: 0.942, accumulated time 724.1169390678406
Hidden layer sizes: (100, 100, 400), validation accuracy: 0.9408, accumulated time 733.5666689872742
Hidden layer sizes: (100, 100, 500), validation accuracy: 0.9404, accumulated time 743.2617411613464
Hidden layer sizes: (100, 200, 100), validation accuracy: 0.9452, accumulated time 752.381353855133
Hidden layer sizes: (100, 200, 200), validation accuracy: 0.9476, accumulated time 761.8490331172943
Hidden layer sizes: (100, 200, 300), validation accuracy: 0.9452, accumulated time 771.9889163970947
Hidden layer sizes: (100, 200, 400), validation accuracy: 0.9448, accumulated time 781.8305974006653
Hidden layer sizes: (100, 200, 500), validation accuracy: 0.9448, accumulated time 792.5100374221802
Hidden layer sizes: (100, 300, 100), validation accuracy: 0.9404, accumulated time 801.8700065612793
Hidden layer sizes: (100, 300, 200), validation accuracy: 0.9444, accumulated time 810.7333037853241
Hidden layer sizes: (100, 300, 300), validation accuracy: 0.9496, accumulated time 820.8283071517944
Hidden layer sizes: (100, 300, 400), validation accuracy: 0.942, accumulated time 833.0416452884674
Hidden layer sizes: (100, 300, 500), validation accuracy: 0.9472, accumulated time 848.9670565128326
Hidden layer sizes: (100, 400, 100), validation accuracy: 0.9452, accumulated time 858.3479204177856
Hidden layer sizes: (100, 400, 200), validation accuracy: 0.944, accumulated time 869.0886533260345
Hidden layer sizes: (100, 400, 300), validation accuracy: 0.9452, accumulated time 881.1424186229706
Hidden layer sizes: (100, 400, 400), validation accuracy: 0.9468, accumulated time 897.6826946735382
Hidden layer sizes: (100, 400, 500), validation accuracy: 0.9468, accumulated time 915.4755895137787
Hidden layer sizes: (100, 500, 100), validation accuracy: 0.9432, accumulated time 926.5380039215088
Hidden layer sizes: (100, 500, 200), validation accuracy: 0.9436, accumulated time 937.2513535022736
Hidden layer sizes: (100, 500, 300), validation accuracy: 0.9468, accumulated time 952.8042330741882
Hidden layer sizes: (100, 500, 400), validation accuracy: 0.946, accumulated time 971.4754085540771
Hidden layer sizes: (100, 500, 500), validation accuracy: 0.9436, accumulated time 992.0758473873138
Hidden layer sizes: (200, 100, 100), validation accuracy: 0.942, accumulated time 1006.4210691452026
Hidden layer sizes: (200, 100, 200), validation accuracy: 0.9452, accumulated time 1022.827700138092
Hidden layer sizes: (200, 100, 300), validation accuracy: 0.9448, accumulated time 1039.590503692627
Hidden layer sizes: (200, 100, 400), validation accuracy: 0.9452, accumulated time 1057.4622175693512
Hidden layer sizes: (200, 100, 500), validation accuracy: 0.94, accumulated time 1069.6536152362823
Hidden layer sizes: (200, 200, 100), validation accuracy: 0.948, accumulated time 1084.1618156433105
Hidden layer sizes: (200, 200, 200), validation accuracy: 0.9436, accumulated time 1100.925903558731
Hidden layer sizes: (200, 200, 300), validation accuracy: 0.9404, accumulated time 1118.2500824928284
Hidden layer sizes: (200, 200, 400), validation accuracy: 0.9456, accumulated time 1133.047509431839
Hidden layer sizes: (200, 200, 500), validation accuracy: 0.946, accumulated time 1149.4755945205688
Hidden layer sizes: (200, 300, 100), validation accuracy: 0.9548, accumulated time 1164.803113937378
